lng,lat
120.3059432,30.2425171
120.2839687,30.2409987
120.2893465,30.2469688
120.2822,30.2411409
120.3064085,30.148438
120.3126709,30.1814122
120.3257687,30.2016319
120.3349943,30.1917581
120.2912402,30.2409345
120.2809916,30.2424437
120.2985077,30.3796102
120.2902789,30.1961382
120.2842256,30.2323233
120.1874859,30.3457838
120.297275,30.2237764
120.2732392,30.2363143
120.3188058,30.1590562
120.3100916,30.1548597
120.2960054,30.2340042
120.2865431,30.2387494
120.300112,30.2759354
120.2857991,30.2322429
120.3279603,30.1927675
120.2785298,30.1217511
120.3272393,30.1909895
120.2843927,30.2390345
120.2879269,30.2385702
120.3415632,30.1291971
120.2872573,30.2389528
120.2869641,30.2201999
120.2530607,30.265042
120.2854317,30.2727294
120.3266047,30.1817869
120.2888899,30.2303652
120.1540699,30.3354933
120.2790698,30.1174031
120.2071886,30.170324
120.2869556,30.1997789
120.2842537,30.2391135
120.2793148,30.241541
120.2943977,30.1851521
120.3115433,30.1832064
120.2839137,30.2417337
120.3096509,30.3761505
120.2793178,30.236259
120.2025242,30.3274124
120.2023942,30.3273804
120.276201,30.2430366
120.2793096,30.2129298
120.3313816,30.1540944
120.345398,30.2309809
120.2924343,30.3305279
120.2900589,30.2088082
120.278263,30.2422772
120.3140424,30.1908355
120.2988361,30.2157136
